Donor Agency,AMP ID,Project Title,Actual Start Date,Primary Sector,2004 Actual Commitments,2005 Actual Commitments,2006 Actual Commitments,2007 Actual Commitments,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,Total Actual Commitments
German Development Cooperation (GIZ),8723814104,Nepal Peace Trust Fund (NPTF),27/02/2007,PEACE AND RECONSTRUCTION, , , , ,2523659.305, , ,2515406.867, , ,-1280068.5,3758997.673
German Development Cooperation (KfW),8723816115,Middle Marsyangdi Hydrolectric Project,23/02/1999,ELECTRICITY,28445504.23, , ,41306623.09, , , , , , , ,201994642.2
German Development Cooperation (KfW),8723814104,Nepal Peace Trust Fund (NPTF),27/02/2007,PEACE AND RECONSTRUCTION, , , , ,1261829.652, , ,2689979.825, , , ,3951809.478
German Development Cooperation (KfW),8723868197,Sector Program Health and Family Planning,09/07/2008,HEALTH, , , ,15760441.29, , , , , , , ,15760441.29
German Development Cooperation (KfW),8723831114,Load Dispatch Center Extension,04/12/1997,ELECTRICITY, , , , , , , , , , , ,23949501.1
German Development Cooperation (KfW),8723851444,Nepal District Health Programme,,HEALTH, , , ,5144562.197, , , , , , , ,5144562.197
German Development Cooperation (KfW),872382625,Town Development Fund Project (phase III),26/05/2009,URBAN DEVELOPMENT, , , , ,10226343.06, , , , , , ,10226343.06
German Development Cooperation (KfW),8723811522,Town Development Fund Project (phase II),15/12/2000,URBAN DEVELOPMENT, , , , , , , , , , , ,6449406.571
German Development Cooperation (KfW),8723868213,Energy Sector Assistance Programme Phase II (ESAP II),15/03/2007,ALTERNATE ENERGY, , , , , ,11558335.6, , , , , ,11558335.6
German Development Cooperation (KfW),8723883662,Nepal Health Sector Programme NHSP-II,18/08/2010,HEALTH, , , , , , , ,13142331.45, , , ,13142331.45
German Development Cooperation (KfW),872381147,Biogas Support Program - Phase IV,01/07/2003,ALTERNATE ENERGY, , , , , , , , , , , ,8141996.417
German Nepal Help Association,872381433408,Nepalese - German Manuscript Cataloguing Project,02/08/2002,TOURISM, , , , , , , , ,2241901.132, , ,2241901.132
Global Alliance for Vaccines and Immunisation,8723868200,Nepal Health Sector Program II (NHSP II) - GAVI,,HEALTH, , , , , , ,14473745, , , , ,14473745
Global Alliance for Vaccines and Immunisation,87238511289,Procurement of vaccines (Pentavalent),,HEALTH, , , ,29164000, , , , , , ,4930614,34094614
Global Environment Facility,87238113636,Forest restoration and sustainable land management in the Churia Range to combat land degradation,,FOREST, , , , , , , , ,1600000, , ,1600000
Global Environment Facility,8723869224,Kathmandu Sustainable Urban Transport Project,26/01/2011,ROAD TRANSPORTATION, , , , , , ,2520000, , , , ,2520000
"Global Fund to Fight AIDS, Tuberculosis and Malaria",8723823133,Support to National HIV/AIDS Programme - SNHP,02/10/2006,HEALTH, , ,4935646, ,43000,30717,44282,586782,-166292, , ,5474135
"Global Fund to Fight AIDS, Tuberculosis and Malaria",8723851222,Scaling Up Coverage and Quality of HIV & AIDS Prevention targeted to Most at Risk Population and Treatment Care and Support Services to PLHA,01/01/2009,HEALTH, , , , ,6734717, , ,5597346,-276677, , ,12055386
"Global Fund to Fight AIDS, Tuberculosis and Malaria",8723851537,Scaling Up Coverage and Quality of HIV & AIDS Prevention targeted to Most at Risk Population and Treatment Care and Support Services to PLHA / Save the Children,01/11/2008,HEALTH, , , , ,2944832, ,3593187, , , , ,6538019
"Global Fund to Fight AIDS, Tuberculosis and Malaria",8723851635,Scaling up coverage and quality of HIV AIDS prevention targeted to most at risk populations and treatment care and support services to PLWHA / Family Planning Association,16/11/2008,HEALTH, , , , ,5936900, , , ,434212, , ,6371112
"Global Fund to Fight AIDS, Tuberculosis and Malaria",8723851637,Scaling up coverage and quality of HIV AIDS prevention targeted to most at risk populations and treatment care and support services to PLHA,01/07/2011,HEALTH, , , , , , ,2229104, , , , ,2229104
"Global Fund to Fight AIDS, Tuberculosis and Malaria",87238511947,"Nepal Round 10 Proposal to Contribute to the Achievement of Millennium Development Goals 4,5,6",21/02/2012,HEALTH, , , , , , , ,11396254, , , ,11396254
"Global Fund to Fight AIDS, Tuberculosis and Malaria",8723851642,Scaling up coverage and quality of malaria prevention and control in targeted high risk districts in Nepal (2008-2013),16/09/2008,HEALTH, , , , ,2101608, , , , , , ,2101608
"Global Fund to Fight AIDS, Tuberculosis and Malaria",8723851641,Scaling up coverage and quality of malaria prevention and control in targeted high risk districts in Nepal / PSI,16/09/2008,HEALTH, , , ,7024844, , , , , , , ,7024844
"Global Fund to Fight AIDS, Tuberculosis and Malaria",87238511948,"Nepal Round 10 Proposal to Contribute to the Achievement of MDGs, 4,5,6 / Save the Children",08/02/2012,HEALTH, , , , , , , ,10219990, , , ,10219990
"Global Fund to Fight AIDS, Tuberculosis and Malaria",87238512057,Expansion of malaria prevention and control to At-Risk populations in Nepal 2010-2016 N,,HEALTH, , , , , , , ,2519091, , , ,2519091
"Global Fund to Fight AIDS, Tuberculosis and Malaria",8723851221,Implementation of Stop TB Strategy (2010-2015),16/07/2010,HEALTH, , , , , , ,28403176, , , , ,28403176
"Global Fund to Fight AIDS, Tuberculosis and Malaria",8723868198,Expansion of Malaria prevention and control to at-risk populations in Nepal 2010-2016,,HEALTH, , , , , , ,13305343, , , , ,13305343
"Global Fund to Fight AIDS, Tuberculosis and Malaria",87238316950,Expansion of Malaria prevention and control to At-Risk population in Nepal,,HEALTH, , , , , , , ,10005855, , , ,10005855
Government of Australia,8723823133,Support to National HIV/AIDS Programme - SNHP,02/10/2006,HEALTH, , , , , ,11093, , , , , ,11093
Government of Australia,8723851751,Micro-Enterprise Development Programme (MEDEP) III,,INDUSTRY, , , , ,3132395.934, ,1585120.997,3205128.205, , , ,7922645.137
Government of Australia,8723883662,Nepal Health Sector Programme NHSP-II,18/08/2010,HEALTH, , , , , ,23493268.28, , , , , ,23493268.28
Government of Australia,8723883742,School sector Reform Program (SSRP),01/01/2010,EDUCATION, , , , , , ,20502859.61, , , , ,20502859.61
